time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
39.696267,0.112,-0.7832,-2.2691,2.403
39.700508,0.3768,-0.6305,-2.5002,2.606
39.710437,1.1502,-0.409,-2.4223,2.713
39.717473,1.5953,-0.2842,-2.2321,2.758
39.720716,1.9836,-0.1455,-2.0646,2.867
39.725799,2.2869,-0.0332,-1.6895,2.843
39.731085,2.5552,0.0968,-1.3496,2.891
39.736179,2.8369,0.2596,-1.0813,3.047
39.73967,3.1243,0.4289,-0.9734,3.3
39.744693,3.1782,0.511,-0.7068,3.296
39.749311,3.0007,0.6034,-0.7116,3.142
39.756394,2.9582,0.7257,-0.6282,3.11
39.760576,2.7357,0.7516,-0.7457,2.933
39.763668,2.4592,0.6792,-0.9282,2.715
39.767647,2.1627,0.5691,-1.1474,2.513
39.787843,1.8574,0.4436,-1.3698,2.35
39.78881,1.5678,0.3307,-1.6391,2.292
39.789429,1.3924,0.2189,-1.8922,2.36
39.789846,1.2594,0.1998,-2.1282,2.481
39.791965,1.2102,0.2159,-2.3622,2.663
39.796253,1.3107,0.2179,-2.286,2.644
39.800653,1.4811,0.2765,-2.2286,2.69
39.806539,1.6207,0.4052,-2.2336,2.789
39.811545,1.8836,0.4221,-1.8976,2.707
39.816108,2.0949,0.6316,-1.784,2.823
39.820757,2.3643,0.7651,-1.5104,2.908
39.824357,2.589,0.9011,-1.1579,2.976
39.829393,2.8501,1.0772,-0.709,3.128
39.834432,3.0213,1.2971,-0.3899,3.311
39.839898,3.0788,1.4633,-0.0998,3.41
39.84462,3.0416,1.6046,0.1305,3.441
39.84905,2.8473,1.7015,0.3342,3.334
39.856142,2.597,1.7728,0.4036,3.17
39.861533,2.3028,1.725,0.5986,2.939
39.862744,1.8959,1.6448,0.6391,2.59
39.867161,1.5441,1.4814,0.5801,2.217
39.891176,1.2245,1.3153,0.4755,1.859
39.89254,0.8422,1.154,0.3554,1.472
39.893048,0.4527,1.0393,0.3421,1.184
39.893509,0.0898,0.9536,0.3863,1.033
39.893784,-0.1789,0.8742,0.526,1.036
39.896834,-0.4263,0.8077,0.6991,1.15
39.901389,-0.4996,0.6435,1.1442,1.405
39.909302,-0.6581,0.4408,1.57,1.758
39.911711,-0.9462,0.2417,1.9254,2.159
39.919434,-0.9318,0.1401,2.387,2.566
39.921384,-1.0033,0.0611,2.7275,2.907
39.926666,-1.1103,-0.0108,3.006,3.205
39.930097,-1.2622,-0.0706,3.0791,3.329
39.936045,-1.3164,-0.0941,3.3177,3.571
39.94021,-1.5228,-0.0941,3.2428,3.584
39.949314,-1.8401,-0.1391,3.1087,3.615
39.954501,-2.0875,-0.1624,2.9053,3.581
39.959588,-2.2317,-0.1865,2.7771,3.568
39.964053,-2.4614,-0.2104,2.4776,3.499
39.972896,-2.578,-0.2248,2.4172,3.541
39.974098,-2.7816,-0.3024,2.2027,3.561
39.978101,-3.0155,-0.3679,1.9762,3.624
39.983291,-3.3584,-0.4073,1.6242,3.753
40.005326,-3.7098,-0.404,1.0966,3.89
40.006408,-4.1438,-0.4179,0.397,4.184
40.006866,-4.4033,-0.3581,-0.2361,4.424
40.007249,-4.6953,-0.3498,-0.8576,4.786
40.007634,-4.9432,-0.3522,-1.4903,5.175
40.011163,-5.0953,-0.3277,-1.909,5.451
40.016178,-5.1164,-0.389,-2.1593,5.567
40.024405,-5.0766,-0.5372,-2.2841,5.593
40.025596,-4.8302,-0.8287,-2.0631,5.317
40.030392,-4.5049,-1.1301,-1.6603,4.932
40.036017,-4.0768,-1.505,-0.9416,4.447
40.040032,-3.7733,-1.8405,-0.1225,4.2
40.045072,-3.6166,-2.0858,0.725,4.237
40.050131,-3.5031,-2.2389,1.6182,4.461
40.054849,-3.405,-2.2797,2.4529,4.776
40.059286,-3.3296,-2.1633,3.1807,5.088
40.063433,-3.223,-1.9709,3.7471,5.321
40.067541,-3.041,-1.6042,4.1048,5.354
40.073458,-2.8177,-1.1661,4.2317,5.216
40.078959,-2.5431,-0.68,4.1152,4.885
40.08293,-2.3378,-0.1774,3.7927,4.459
40.105594,-2.1316,0.2873,3.2694,3.913
40.106483,-1.9267,0.7254,2.6354,3.344
40.106945,-1.6455,1.1025,1.9564,2.784
40.107402,-1.2546,1.4198,1.2626,2.277
40.107829,-0.8983,1.6502,0.5352,1.954
40.111651,-0.5694,1.7718,-0.1069,1.864
40.116676,-0.263,1.8968,-0.6272,2.015
40.121495,-0.0343,1.9942,-0.9954,2.229
40.12719,0.0805,2.0427,-1.2062,2.374
40.130819,0.1114,2.1013,-1.2694,2.458
40.137655,0.0099,2.0954,-1.1907,2.41
40.139821,-0.1118,2.0824,-1.0449,2.333
40.14567,-0.2775,1.9874,-0.8784,2.19
40.149875,-0.4728,1.9171,-0.645,2.077
40.15637,-0.6802,1.7814,-0.4008,1.948
40.159766,-0.8667,1.6486,-0.2225,1.876
40.164264,-0.952,1.5504,-0.1121,1.823
40.188035,-0.9685,1.4312,-0.0963,1.731
40.189183,-0.8659,1.2995,-0.1267,1.567
40.189769,-0.691,1.1567,-0.2677,1.374
40.190254,-0.282,0.913,-0.8824,1.301
40.192282,-0.144,0.8738,-1.3842,1.643
40.196446,-0.0233,0.794,-1.9665,2.121
40.202391,0.1467,0.7685,-2.5835,2.699
40.207913,0.2935,0.763,-3.2091,3.312
40.211938,0.5037,0.7575,-3.6987,3.809
40.216972,0.7732,0.7908,-4.0528,4.201
40.221986,0.9568,0.8827,-4.3038,4.496
40.226401,1.1108,0.9856,-4.4247,4.667
40.23088,1.2437,1.0899,-4.3896,4.691
40.2348,1.3141,1.1155,-4.1397,4.484
40.240983,1.2348,1.0206,-3.5793,3.921
40.245609,1.0801,0.828,-2.7138,3.036
40.249981,0.8288,0.5461,-1.6788,1.95
40.256173,0.4975,0.2017,-0.6012,0.806
40.259575,0.1628,-0.2022,0.4063,0.482
40.264518,-0.1163,-0.74,1.1431,1.367
40.28644,-0.1947,-1.3734,0.9467,1.679
40.287435,0.2055,-2.0607,-0.5472,2.142
40.287797,1.0166,-2.8673,-3.1171,4.356
40.288338,2.3834,-3.5563,-5.06,6.628
40.288746,3.7913,-4.0818,-6.216,8.347
40.292226,4.608,-4.5415,-6.784,9.375
40.296805,4.8809,-4.9554,-6.3323,9.406
40.302447,4.9538,-5.1162,-5.3186,8.888
40.30867,5.3116,-4.771,-4.2543,8.311
40.311645,5.9622,-4.0274,-3.005,7.797
40.31684,6.3463,-3.3005,-1.6798,7.348
40.324976,6.218,-2.8438,-0.3421,6.846
40.32684,5.7137,-2.549,0.8882,6.319
40.33607,4.9831,-2.2412,1.9667,5.807
40.339867,4.1368,-1.855,2.8956,5.38
40.341591,3.349,-1.3584,3.7489,5.207
40.345784,2.3956,-0.8378,4.1217,4.84
40.352639,1.5676,-0.3174,4.3094,4.597
40.356079,0.8312,0.1534,4.4631,4.542
40.360101,0.2973,0.5874,4.57,4.617
40.363989,-0.0949,0.9717,4.6244,4.726
40.372762,-0.2424,1.2727,4.6427,4.82
40.375827,-0.3438,1.5461,4.2818,4.565
40.378623,-0.1911,1.7955,3.8944,4.293
40.383422,0.1059,2.0113,3.5317,4.066
40.408479,0.456,2.2067,3.1492,3.872
40.410117,0.9087,2.1734,2.9011,3.737
40.410791,1.4941,2.0009,2.7909,3.745
40.411396,2.1081,1.7298,2.6612,3.81
40.411865,2.6273,1.3842,2.4599,3.856
40.412377,2.9816,0.9798,2.2291,3.85
40.416817,3.1007,0.6205,1.8753,3.676
40.425112,3.0553,0.3481,1.437,3.394
40.430956,2.6732,-0.3397,0.6744,2.778
40.435866,2.4148,-0.5949,0.274,2.502
40.441633,2.1133,-0.7315,-0.1043,2.239
40.446228,1.7323,-0.7939,-0.5199,1.975
40.450813,1.3703,-0.7447,-0.9328,1.817
40.455456,0.9264,-0.6375,-1.2872,1.709
40.460776,0.542,-0.4539,-1.5934,1.743
40.464355,0.1526,-0.2304,-1.8463,1.867
40.472347,-0.1014,-0.0074,-1.9167,1.919
40.475281,-0.3256,0.2341,-2.0688,2.107
40.480077,-0.3771,0.4316,-2.0191,2.099
40.484189,-0.3353,0.5652,-1.8417,1.955
